time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-02-24 00:00:00+00:00,2,2,0,0
2026-02-25 00:00:00+00:00,20,5,1,1
2026-02-26 00:00:00+00:00,12,3,1,1
2026-02-27 00:00:00+00:00,14,5,0,0
2026-02-28 00:00:00+00:00,26,9,0,0
2026-03-01 00:00:00+00:00,8,3,0,0
2026-03-02 00:00:00+00:00,15,6,0,0
2026-03-03 00:00:00+00:00,4,4,0,0
2026-03-04 00:00:00+00:00,17,7,8,1
2026-03-05 00:00:00+00:00,14,5,4,1
2026-03-06 00:00:00+00:00,10,5,3,2
2026-03-07 00:00:00+00:00,13,4,0,0
2026-03-08 00:00:00+00:00,13,4,0,0
2026-03-09 00:00:00+00:00,20,7,2,2
